TITLE,Tumor antigen P53 N-terminal Transactivation domain (1-73)
DATA TYPE,
ORIGIN,PCDDB
OWNER,"Gabor Nagy, Soren V Hoffman, Nykola C Jones, Helmut Grubmuller"
DATE,23/11/03
TIME,
SPECTROMETER/DATA SYSTEM,
LOCALE,
RESOLUTION,
DELTAX,
XUNITS,NANOMETERS
YUNITS,delta epsilon
Y2UNITS,
Y3UNITS,
Y4UNITS,
FIRSTX,
LASTX,
NPOINTS,
FIRSTY,
MAXY,
MINY,
XYDATA,
280.0000       -0.00600000,
279.0000       0.01100000,
278.0000       0.00600000,
277.0000       -0.00500000,
276.0000       -0.02300000,
275.0000       -0.04100000,
274.0000       -0.02000000,
273.0000       0.01100000,
272.0000       0.03800000,
271.0000       0.03900000,
270.0000       0.04800000,
269.0000       0.06300000,
268.0000       0.06000000,
267.0000       0.05300000,
266.0000       0.02200000,
265.0000       -0.02400000,
264.0000       -0.05700000,
263.0000       -0.05500000,
262.0000       -0.06400000,
261.0000       -0.06000000,
260.0000       -0.05100000,
259.0000       -0.02600000,
258.0000       -0.04700000,
257.0000       -0.01500000,
256.0000       0.02400000,
255.0000       0.01100000,
254.0000       0.01600000,
253.0000       0.00800000,
252.0000       -0.01500000,
251.0000       0.02800000,
250.0000       0.04700000,
249.0000       0.01500000,
248.0000       -0.02000000,
247.0000       -0.04900000,
246.0000       -0.05800000,
245.0000       -0.06100000,
244.0000       -0.02900000,
243.0000       -0.04600000,
242.0000       -0.08100000,
241.0000       -0.12600000,
240.0000       -0.19200000,
239.0000       -0.23700000,
238.0000       -0.25500000,
237.0000       -0.29300000,
236.0000       -0.32600000,
235.0000       -0.34400000,
234.0000       -0.35900000,
233.0000       -0.43500000,
232.0000       -0.47600000,
231.0000       -0.49300000,
230.0000       -0.49000000,
229.0000       -0.49100000,
228.0000       -0.50900000,
227.0000       -0.56700000,
226.0000       -0.64500000,
225.0000       -0.66300000,
224.0000       -0.67200000,
223.0000       -0.71400000,
222.0000       -0.75800000,
221.0000       -0.79200000,
220.0000       -0.85600000,
219.0000       -0.91500000,
218.0000       -0.98900000,
217.0000       -1.08900000,
216.0000       -1.28400000,
215.0000       -1.44800000,
214.0000       -1.67000000,
213.0000       -1.92000000,
212.0000       -2.18800000,
211.0000       -2.50000000,
210.0000       -2.83300000,
209.0000       -3.24700000,
208.0000       -3.66200000,
207.0000       -4.06500000,
206.0000       -4.47700000,
205.0000       -4.91000000,
204.0000       -5.37800000,
203.0000       -5.92600000,
202.0000       -6.30000000,
201.0000       -6.59600000,
200.0000       -6.75600000,
199.0000       -6.78200000,
198.0000       -6.69700000,
197.0000       -6.42400000,
196.0000       -5.96800000,
195.0000       -5.44900000,
194.0000       -4.85000000,
193.0000       -4.22000000,
192.0000       -3.56800000,
191.0000       -2.86100000,
190.0000       -2.22500000,
189.0000       -1.63200000,
188.0000       -1.06300000,
187.0000       -0.56500000,
186.0000       -0.20100000,
185.0000       -0.00900000,
184.0000       0.06100000,
183.0000       0.03900000,
182.0000       -0.01100000,
181.0000       -0.05000000,
180.0000       -0.18000000,
179.0000       -0.37900000,
178.0000       -0.68900000,
